Step 10600/900000, Total Loss: 3.9808, Mel Loss: 1.3538, Mel PostNet Loss: 1.3537, Pitch Loss: 0.0000, Energy Loss: 0.0000, Duration Loss: 0.0000, CTC Loss: 1.2733, Binarization Loss: 0.0000
Step 10700/900000, Total Loss: 5.1182, Mel Loss: 1.7988, Mel PostNet Loss: 1.8010, Pitch Loss: 0.0000, Energy Loss: 0.0000, Duration Loss: 0.0000, CTC Loss: 1.5184, Binarization Loss: 0.0000
Step 10800/900000, Total Loss: 4.9726, Mel Loss: 1.6932, Mel PostNet Loss: 1.6838, Pitch Loss: 0.0000, Energy Loss: 0.0000, Duration Loss: 0.0000, CTC Loss: 1.5956, Binarization Loss: 0.0000
Step 10900/900000, Total Loss: 4.3803, Mel Loss: 1.5093, Mel PostNet Loss: 1.5057, Pitch Loss: 0.0000, Energy Loss: 0.0000, Duration Loss: 0.0000, CTC Loss: 1.3653, Binarization Loss: 0.0000
Step 11000/900000, Total Loss: 4.5406, Mel Loss: 1.6344, Mel PostNet Loss: 1.6330, Pitch Loss: 0.0000, Energy Loss: 0.0000, Duration Loss: 0.0000, CTC Loss: 1.2732, Binarization Loss: 0.0000
Step 11100/900000, Total Loss: 3.8347, Mel Loss: 1.2803, Mel PostNet Loss: 1.2733, Pitch Loss: 0.0000, Energy Loss: 0.0000, Duration Loss: 0.0000, CTC Loss: 1.2811, Binarization Loss: 0.0000
Step 11200/900000, Total Loss: 3.7672, Mel Loss: 1.3413, Mel PostNet Loss: 1.3392, Pitch Loss: 0.0000, Energy Loss: 0.0000, Duration Loss: 0.0000, CTC Loss: 1.0868, Binarization Loss: 0.0000
Step 11300/900000, Total Loss: 3.9946, Mel Loss: 1.5134, Mel PostNet Loss: 1.5172, Pitch Loss: 0.0000, Energy Loss: 0.0000, Duration Loss: 0.0000, CTC Loss: 0.9640, Binarization Loss: 0.0000
Step 11400/900000, Total Loss: 4.2136, Mel Loss: 1.5430, Mel PostNet Loss: 1.5360, Pitch Loss: 0.0000, Energy Loss: 0.0000, Duration Loss: 0.0000, CTC Loss: 1.1346, Binarization Loss: 0.0000
Step 11500/900000, Total Loss: 3.7366, Mel Loss: 1.3714, Mel PostNet Loss: 1.3613, Pitch Loss: 0.0000, Energy Loss: 0.0000, Duration Loss: 0.0000, CTC Loss: 1.0040, Binarization Loss: 0.0000
Step 11600/900000, Total Loss: 4.5727, Mel Loss: 1.5629, Mel PostNet Loss: 1.5511, Pitch Loss: 0.0000, Energy Loss: 0.0000, Duration Loss: 0.0000, CTC Loss: 1.4587, Binarization Loss: 0.0000
Step 11700/900000, Total Loss: 4.2026, Mel Loss: 1.5030, Mel PostNet Loss: 1.4921, Pitch Loss: 0.0000, Energy Loss: 0.0000, Duration Loss: 0.0000, CTC Loss: 1.2075, Binarization Loss: 0.0000
Step 11800/900000, Total Loss: 4.2508, Mel Loss: 1.6236, Mel PostNet Loss: 1.6149, Pitch Loss: 0.0000, Energy Loss: 0.0000, Duration Loss: 0.0000, CTC Loss: 1.0123, Binarization Loss: 0.0000
